Tamanio de datos,T promedio [s]
1000,0.000153825
2000,0.000314135
3000,0.00051023
4000,0.000790045
5000,0.00090975
6000,0.00120651
7000,0.00128578
8000,0.00142817
9000,0.00185618
10000,0.0019895
